game_number	player_bankrupt	turn
717	Alice	100
718	Charly	36
718	Bob	44
718	Alice	48
719	Alice	52
719	Charly	67
719	Hero	82
721	Hero	67
721	Alice	81
721	Bob	92
722	Charly	42
722	Bob	52
722	Alice	89
723	Bob	55
723	Alice	84
723	Charly	89
724	Alice	35
724	Bob	42
724	Hero	54
725	Hero	52
725	Bob	53
725	Charly	60
726	Charly	24
726	Hero	37
726	Alice	37
728	Alice	25
728	Hero	28
728	Bob	35
730	Alice	49
730	Hero	53
730	Charly	62
731	Bob	38
731	Hero	60
731	Charly	68
732	Bob	19
732	Charly	23
732	Hero	24
733	Bob	46
733	Charly	102
733	Alice	147
734	Alice	43
734	Bob	52
734	Hero	55
737	Alice	41
737	Bob	47
737	Hero	69
738	Charly	16
738	Hero	32
738	Bob	32
739	Charly	35
739	Hero	52
739	Alice	56
740	Charly	116
740	Hero	144
740	Bob	151
743	Hero	50
743	Charly	61
743	Alice	70
744	Hero	42
744	Bob	43
744	Charly	49
746	Hero	38
746	Bob	46
746	Charly	53
747	Hero	39
747	Charly	42
747	Bob	48
750	Alice	39
750	Bob	42
750	Hero	50
751	Alice	41
751	Charly	45
751	Hero	62
755	Hero	61
755	Alice	66
755	Charly	69
756	Bob	49
756	Charly	52
756	Hero	59
757	Bob	46
757	Charly	60
757	Hero	81
758	Bob	54
758	Hero	64
758	Alice	72
759	Alice	43
759	Hero	50
759	Bob	54
760	Charly	30
760	Bob	39
760	Hero	55
761	Alice	58
761	Charly	66
761	Bob	68
763	Charly	28
763	Alice	28
763	Hero	64
766	Charly	46
766	Hero	57
766	Alice	66
767	Hero	42
767	Alice	80
767	Bob	98
768	Hero	48
768	Alice	56
769	Bob	42
769	Charly	47
769	Hero	59
770	Hero	29
770	Alice	34
770	Bob	43
772	Charly	37
772	Alice	42
772	Hero	62
775	Charly	14
775	Alice	14
775	Hero	17
776	Alice	35
776	Bob	46
776	Hero	49
777	Hero	88
777	Alice	89
777	Bob	93
778	Hero	19
778	Charly	22
778	Alice	24
780	Hero	30
780	Bob	38
780	Charly	58
782	Charly	40
782	Alice	42
782	Hero	58
784	Charly	76
784	Alice	87
784	Hero	94
786	Hero	32
786	Alice	37
786	Charly	43
787	Charly	77
787	Bob	91
787	Alice	98
788	Hero	27
788	Alice	30
788	Bob	33
789	Hero	13
789	Charly	13
789	Alice	30
790	Charly	35
790	Hero	63
790	Bob	70
791	Hero	30
791	Charly	37
791	Alice	43
792	Alice	51
792	Bob	57
792	Hero	59
793	Charly	88
793	Bob	99
793	Hero	136
794	Hero	22
794	Bob	23
794	Charly	27
795	Hero	39
795	Bob	59
795	Charly	74
796	Hero	40
796	Charly	42
796	Bob	43
798	Hero	76
798	Charly	80
798	Bob	82
799	Charly	150
801	Bob	33
801	Hero	41
801	Charly	45
802	Alice	74
802	Bob	93
802	Hero	101
803	Bob	32
803	Alice	32
803	Hero	45
